player_id,name,jersey_number,role,line,team,pt_played_o,o_possessions_points,o_possessions,pt_played_d,d_possessions_points,d_possessions,pt_played_tot,tot_possessions_points,tot_possessions,scoring_impact,tov_recovery_impact,break_efficiency
0,Laffi,13,H,O,BFD La Fotta,31,1.2903225806451613,40,0,0.0,0,31,1.8064516129032258,56,0.6,0.5625,
1,Nando,64,H,O,BFD La Fotta,14,1.3571428571428572,19,0,0.0,0,14,1.9285714285714286,27,0.5789473684210527,0.625,
2,Coppi,22,H,O,BFD La Fotta,10,1.6,16,0,0.0,0,10,2.6,26,0.375,0.6,
3,Mancio,90,H,O,BFD La Fotta,21,1.3333333333333333,28,0,0.0,0,21,1.9523809523809523,41,0.5357142857142857,0.5384615384615384,
4,Bebo,38,Y,O,BFD La Fotta,25,1.28,32,0,0.0,0,25,1.84,46,0.5625,0.5,
5,Gas,9,Y,O,BFD La Fotta,30,1.3,39,4,1.0,4,34,1.7058823529411764,58,0.65,0.6428571428571429,1.0
6,Edo,33,Y,O,BFD La Fotta,17,1.2941176470588236,22,0,0.0,0,17,1.8235294117647058,31,0.5909090909090909,0.5555555555555556,
7,Seba,8,Y,O,BFD La Fotta,24,1.3333333333333333,32,3,1.0,3,27,1.9259259259259258,52,0.5588235294117647,0.5333333333333333,1.0
8,Gio,34,C,O,BFD La Fotta,12,1.25,15,0,0.0,0,12,1.75,21,0.6,0.5,
9,Cioppo,27,C,O,BFD La Fotta,29,1.3448275862068966,39,3,1.0,3,32,1.84375,59,0.6,0.625,1.0
10,Rosi,61,C,O,BFD La Fotta,11,1.3636363636363635,15,0,0.0,0,11,2.0,22,0.5333333333333333,0.5714285714285714,
11,Lollo,17,H,D,BFD La Fotta,0,0.0,0,20,1.6,32,20,2.45,49,0.29411764705882354,,0.29411764705882354
12,Toni,10,H,D,BFD La Fotta,0,0.0,0,9,1.2222222222222223,11,9,1.8888888888888888,17,0.6666666666666666,,0.6666666666666666
13,Zeno,0,H,D,BFD La Fotta,0,0.0,0,8,1.875,15,8,3.0,24,0.2222222222222222,,0.2222222222222222
14,Dede,4,H,D,BFD La Fotta,1,3.0,3,13,1.3846153846153846,18,14,2.357142857142857,33,0.46153846153846156,1.0,0.5
15,Krash,51,H,D,BFD La Fotta,0,0.0,0,12,1.5833333333333333,19,12,2.3333333333333335,28,0.2222222222222222,,0.2222222222222222
16,Tal,42,Y,D,BFD La Fotta,0,0.0,0,16,1.5,24,16,2.3125,37,0.38461538461538464,,0.38461538461538464
17,Jan,11,Y,D,BFD La Fotta,0,0.0,0,25,1.4,35,25,2.04,51,0.375,,0.375
18,Mastro,7,Y,D,BFD La Fotta,7,1.2857142857142858,9,21,1.4285714285714286,30,28,2.0714285714285716,58,0.52,0.6666666666666666,0.4375
19,Pingu,97,Y,D,BFD La Fotta,3,2.3333333333333335,7,25,1.32,33,28,2.142857142857143,60,0.4782608695652174,1.0,0.5
20,Kais,31,Y,D,BFD La Fotta,0,0.0,0,12,1.5833333333333333,19,12,2.3333333333333335,28,0.2222222222222222,,0.2222222222222222
21,Gatti,83,Y,D,BFD La Fotta,0,0.0,0,11,1.8181818181818181,20,11,2.8181818181818183,31,0.18181818181818182,,0.18181818181818182
22,Ventu,50,C,D,BFD La Fotta,3,2.0,6,25,1.32,33,28,2.107142857142857,59,0.5217391304347826,1.0,0.5294117647058824
23,Gabbo,99,C,D,BFD La Fotta,0,0.0,0,8,1.375,11,8,2.0,16,0.4,,0.4
24,Martin,54,C,D,BFD La Fotta,0,0.0,0,2,2.5,5,2,4.0,8,0.0,,0.0
