name,role,line,jersey_number,S,D,HD,LT,T,P,Assist,Mete,Mete g att,Mete g dif,Mga att (min),sec_played_o,Mga dif (min),sec_played_d,Mete g tot,Mga tot (min),sec_played_tot,game_id,player_id
Bebo,Y,O,38,,,,,,,,,8,,,,,,8,,,0,4
Bebo,Y,O,38,,,,,1,,1,,9,,,,,,9,,,1,4
Bebo,Y,O,38,,,,,,,,1,10,,,,,,10,,,2,4
Bebo,Y,O,38,1,,,1,,1,,2,8,,,,,,8,,,3,4
Bebo,Y,O,38,,1,,,1,,,1,8,,,,,,8,,,4,4
Bebo,Y,O,38,,,,,2,,,,11,,,,,,11,,,5,4
Cioppo,C,O,27,,,,,,,2,2,7,1,,,,,8,,,0,9
Cioppo,C,O,27,,,,,,,1,2,14,1,,,,,15,,,1,9
Cioppo,C,O,27,,,,,1,,2,1,11,2,,,,,13,,,2,9
Cioppo,C,O,27,,1,,,,,1,,7,1,,,,,8,,,3,9
Cioppo,C,O,27,,,,,,,2,3,9,,,,,,9,,,4,9
Cioppo,C,O,27,,1,,,2,1,,,10,1,,,,,11,,,5,9
Coppi,H,O,22,,1,,,,,1,,6,,,,,,6,,,0,2
Coppi,H,O,22,,,,,,,,2,3,,,,,,3,,,1,2
Coppi,H,O,22,,,,,1,,,1,6,,,,,,6,,,2,2
Coppi,H,O,22,,,,,1,,,,6,,,,,,6,,,3,2
Coppi,H,O,22,,,,,1,,,,5,,,,,,5,,,4,2
Coppi,H,O,22,,,,,,,,,4,,,,,,4,,,5,2
Dede,H,D,4,,,,,,,,1,,7,,,,,7,,,0,14
Dede,H,D,4,,,,,,,,,,7,,,,,7,,,1,14
Dede,H,D,4,,,,,,,,,,8,,,,,8,,,2,14
Dede,H,D,4,,1,,1,,,,1,1,4,,,,,5,,,3,14
Dede,H,D,4,,1,,,,1,1,1,,6,,,,,6,,,4,14
Dede,H,D,4,,,,,,,,,,,,,,,,,,5,14
Edo,Y,O,33,,,,,,,1,2,6,,,,,,6,,,0,6
Edo,Y,O,33,,,,,,,,,6,,,,,,6,,,1,6
Edo,Y,O,33,,1,,,,,2,,8,,,,,,8,,,2,6
Edo,Y,O,33,,,,,1,,1,1,8,,,,,,8,,,3,6
Edo,Y,O,33,,,,,,,2,,6,,,,,,6,,,4,6
Edo,Y,O,33,,,,,,,,,8,,,,,,8,,,5,6
Gabbo,C,D,99,,,,,,,,1,,4,,,,,4,,,0,23
Gabbo,C,D,99,,,,,,,,,,2,,,,,2,,,1,23
Gabbo,C,D,99,,,,,,,,,,1,,,,,1,,,2,23
Gabbo,C,D,99,,,,,,,,,,3,,,,,3,,,3,23
Gabbo,C,D,99,,,,,,,,1,,3,,,,,3,,,4,23
Gabbo,C,D,99,,1,,,,,,,,4,,,,,4,,,5,23
