player_id,name,jersey_number,role,line,team,pt_played_o,o_possessions_points,o_possessions,pt_played_d,d_possessions_points,d_possessions,pt_played_tot,tot_possessions_points,tot_possessions,scoring_impact,block_creation,tov_recovery_impact,break_efficiency
0,Laffi,13,H,O,BFD La Fotta,66,1.4090909090909092,93,0,0.0,43,66,2.0606060606060606,136,0.5376344086021505,0.627906976744186,0.627906976744186,
1,Nando,64,H,O,BFD La Fotta,34,1.4705882352941178,50,0,0.0,23,34,2.1470588235294117,73,0.54,0.6956521739130435,0.6956521739130435,
2,Coppi,22,H,O,BFD La Fotta,30,1.5333333333333334,46,0,0.0,27,30,2.433333333333333,73,0.41304347826086957,0.5925925925925926,0.5925925925925926,
3,Mancio,90,H,O,BFD La Fotta,46,1.391304347826087,64,0,0.0,31,46,2.0652173913043477,95,0.515625,0.5806451612903226,0.5806451612903226,
4,Bebo,38,Y,O,BFD La Fotta,54,1.3148148148148149,71,0,0.0,30,54,1.8703703703703705,101,0.5774647887323944,0.5666666666666667,0.5666666666666667,
5,Gas,9,Y,O,BFD La Fotta,62,1.3387096774193548,83,4,9.75,39,66,1.8484848484848484,122,0.5783132530120482,0.5384615384615384,0.5714285714285714,1.0
6,Edo,33,Y,O,BFD La Fotta,42,1.2142857142857142,51,0,0.0,21,42,1.7142857142857142,72,0.5882352941176471,0.42857142857142855,0.42857142857142855,
7,Seba,8,Y,O,BFD La Fotta,50,1.46,73,4,9.0,36,54,2.0185185185185186,109,0.5616438356164384,0.6388888888888888,0.6333333333333333,0.5
8,Gio,34,C,O,BFD La Fotta,34,1.5,51,0,0.0,24,34,2.2058823529411766,75,0.5294117647058824,0.7083333333333334,0.7083333333333334,
9,Cioppo,27,C,O,BFD La Fotta,58,1.4482758620689655,84,6,7.0,42,64,1.96875,126,0.5714285714285714,0.6190476190476191,0.6764705882352942,0.3333333333333333
10,Rosi,61,C,O,BFD La Fotta,28,1.5714285714285714,44,0,0.0,25,28,2.4642857142857144,69,0.4318181818181818,0.64,0.64,
11,Lollo,17,H,D,BFD La Fotta,0,0.0,39,46,1.5869565217391304,73,46,2.4347826086956523,112,0.3076923076923077,0.5342465753424658,,0.3076923076923077
12,Toni,10,H,D,BFD La Fotta,0,0.0,17,26,1.2307692307692308,32,26,1.8846153846153846,49,0.6470588235294118,0.53125,,0.6470588235294118
13,Zeno,0,H,D,BFD La Fotta,0,0.0,21,27,1.4074074074074074,38,27,2.185185185185185,59,0.47619047619047616,0.5526315789473685,,0.47619047619047616
14,Dede,4,H,D,BFD La Fotta,1,32.0,32,32,1.625,52,33,2.5454545454545454,84,0.375,0.5961538461538461,1.0,0.3793103448275862
15,Krash,51,H,D,BFD La Fotta,0,0.0,22,40,1.35,54,40,1.9,76,0.36363636363636365,0.4074074074074074,,0.36363636363636365
16,Tal,42,Y,D,BFD La Fotta,0,0.0,33,43,1.5116279069767442,65,43,2.2790697674418605,98,0.3333333333333333,0.5076923076923077,,0.3333333333333333
17,Jan,11,Y,D,BFD La Fotta,0,0.0,35,48,1.4375,69,48,2.1666666666666665,104,0.4,0.5072463768115942,,0.4
18,Mastro,7,Y,D,BFD La Fotta,11,4.2727272727272725,47,48,1.4583333333333333,70,59,1.9830508474576272,117,0.5319148936170213,0.5142857142857142,0.75,0.45454545454545453
19,Pingu,97,Y,D,BFD La Fotta,4,13.5,54,57,1.5263157894736843,87,61,2.3114754098360657,141,0.4444444444444444,0.5747126436781609,1.0,0.43478260869565216
20,Kais,31,Y,D,BFD La Fotta,0,0.0,21,38,1.3421052631578947,51,38,1.894736842105263,72,0.38095238095238093,0.4117647058823529,,0.38095238095238093
21,Gatti,83,Y,D,BFD La Fotta,0,0.0,20,28,1.4285714285714286,40,28,2.142857142857143,60,0.4,0.5,,0.4
22,Ventu,50,C,D,BFD La Fotta,4,12.0,48,60,1.4166666666666667,85,64,2.078125,133,0.4791666666666667,0.5176470588235295,1.0,0.4634146341463415
23,Gabbo,99,C,D,BFD La Fotta,0,0.0,8,17,1.2352941176470589,21,17,1.7058823529411764,29,0.5,0.38095238095238093,,0.5
24,Martin,54,C,D,BFD La Fotta,0,0.0,10,20,1.3,26,20,1.8,36,0.4,0.38461538461538464,,0.4
