player_id,name,jersey_number,role,line,team
0,Laffi,13,H,O,BFD La Fotta
1,Nando,64,H,O,BFD La Fotta
2,Coppi,22,H,O,BFD La Fotta
3,Mancio,90,H,O,BFD La Fotta
4,Bebo,38,Y,O,BFD La Fotta
5,Gas,9,Y,O,BFD La Fotta
6,Edo,33,Y,O,BFD La Fotta
7,Seba,8,Y,O,BFD La Fotta
8,Gio,34,C,O,BFD La Fotta
9,Cioppo,27,C,O,BFD La Fotta
10,Rosi,61,C,O,BFD La Fotta
11,Lollo,17,H,D,BFD La Fotta
12,Toni,10,H,D,BFD La Fotta
13,Zeno,0,H,D,BFD La Fotta
14,Dede,4,H,D,BFD La Fotta
15,Krash,51,H,D,BFD La Fotta
16,Tal,42,Y,D,BFD La Fotta
17,Jan,11,Y,D,BFD La Fotta
18,Mastro,7,Y,D,BFD La Fotta
19,Pingu,97,Y,D,BFD La Fotta
20,Kais,31,Y,D,BFD La Fotta
21,Gatti,83,Y,D,BFD La Fotta
22,Ventu,50,C,D,BFD La Fotta
23,Gabbo,99,C,D,BFD La Fotta
24,Martin,54,C,D,BFD La Fotta
