point_id,player_id,name,role,line,pss_played_o,pss_played_d,pss_played_tot,pt_played_o,pt_played_d,pt_played_tot
0,11,Lollo,H,D,0,1,1,False,True,True
0,16,Tal,Y,D,0,1,1,False,True,True
0,17,Jan,Y,D,0,1,1,False,True,True
0,18,Mastro,Y,D,0,1,1,False,True,True
0,19,Pingu,Y,D,0,1,1,False,True,True
0,22,Ventu,C,D,0,1,1,False,True,True
0,24,Martin,C,D,0,1,1,False,True,True
1,0,Laffi,H,O,3,2,5,True,False,True
1,1,Nando,H,O,3,2,5,True,False,True
1,4,Bebo,Y,O,3,2,5,True,False,True
1,5,Gas,Y,O,3,2,5,True,False,True
1,7,Seba,Y,O,3,2,5,True,False,True
1,8,Gio,C,O,3,2,5,True,False,True
1,9,Cioppo,C,O,3,2,5,True,False,True
2,12,Toni,H,D,1,1,2,False,True,True
2,13,Zeno,H,D,1,1,2,False,True,True
2,14,Dede,H,D,1,1,2,False,True,True
2,15,Krash,H,D,1,1,2,False,True,True
2,19,Pingu,Y,D,1,1,2,False,True,True
2,20,Kais,Y,D,1,1,2,False,True,True
2,22,Ventu,C,D,1,1,2,False,True,True
3,11,Lollo,H,D,0,1,1,False,True,True
3,16,Tal,Y,D,0,1,1,False,True,True
3,17,Jan,Y,D,0,1,1,False,True,True
3,18,Mastro,Y,D,0,1,1,False,True,True
3,21,Gatti,Y,D,0,1,1,False,True,True
3,23,Gabbo,C,D,0,1,1,False,True,True
3,24,Martin,C,D,0,1,1,False,True,True
4,0,Laffi,H,O,1,1,2,True,False,True
4,2,Coppi,H,O,1,1,2,True,False,True
4,3,Mancio,H,O,1,1,2,True,False,True
4,4,Bebo,Y,O,1,1,2,True,False,True
4,5,Gas,Y,O,1,1,2,True,False,True
4,6,Edo,Y,O,1,1,2,True,False,True
4,7,Seba,Y,O,1,1,2,True,False,True
5,0,Laffi,H,O,4,3,7,True,False,True
5,1,Nando,H,O,4,3,7,True,False,True
5,2,Coppi,H,O,4,3,7,True,False,True
5,7,Seba,Y,O,4,3,7,True,False,True
5,8,Gio,C,O,4,3,7,True,False,True
5,9,Cioppo,C,O,4,3,7,True,False,True
5,10,Rosi,C,O,4,3,7,True,False,True
6,11,Lollo,H,D,0,1,1,False,True,True
6,14,Dede,H,D,0,1,1,False,True,True
6,15,Krash,H,D,0,1,1,False,True,True
6,19,Pingu,Y,D,0,1,1,False,True,True
6,20,Kais,Y,D,0,1,1,False,True,True
6,22,Ventu,C,D,0,1,1,False,True,True
6,24,Martin,C,D,0,1,1,False,True,True
7,3,Mancio,H,O,1,0,1,True,False,True
7,4,Bebo,Y,O,1,0,1,True,False,True
7,5,Gas,Y,O,1,0,1,True,False,True
7,6,Edo,Y,O,1,0,1,True,False,True
7,7,Seba,Y,O,1,0,1,True,False,True
7,9,Cioppo,C,O,1,0,1,True,False,True
8,12,Toni,H,D,0,1,1,False,True,True
8,13,Zeno,H,D,0,1,1,False,True,True
8,16,Tal,Y,D,0,1,1,False,True,True
8,17,Jan,Y,D,0,1,1,False,True,True
8,18,Mastro,Y,D,0,1,1,False,True,True
8,19,Pingu,Y,D,0,1,1,False,True,True
8,22,Ventu,C,D,0,1,1,False,True,True
9,0,Laffi,H,O,1,0,1,True,False,True
9,1,Nando,H,O,1,0,1,True,False,True
9,3,Mancio,H,O,1,0,1,True,False,True
9,7,Seba,Y,O,1,0,1,True,False,True
9,8,Gio,C,O,1,0,1,True,False,True
9,9,Cioppo,C,O,1,0,1,True,False,True
9,10,Rosi,C,O,1,0,1,True,False,True
10,7,Seba,Y,O,1,1,2,False,True,True
10,9,Cioppo,C,O,1,1,2,False,True,True
10,11,Lollo,H,D,1,1,2,False,True,True
10,16,Tal,Y,D,1,1,2,False,True,True
10,17,Jan,Y,D,1,1,2,False,True,True
10,18,Mastro,Y,D,1,1,2,False,True,True
10,22,Ventu,C,D,1,1,2,False,True,True
11,11,Lollo,H,D,0,1,1,False,True,True
11,12,Toni,H,D,0,1,1,False,True,True
11,14,Dede,H,D,0,1,1,False,True,True
11,16,Tal,Y,D,0,1,1,False,True,True
11,18,Mastro,Y,D,0,1,1,False,True,True
11,19,Pingu,Y,D,0,1,1,False,True,True
11,22,Ventu,C,D,0,1,1,False,True,True
12,0,Laffi,H,O,1,0,1,True,False,True
12,2,Coppi,H,O,1,0,1,True,False,True
12,3,Mancio,H,O,1,0,1,True,False,True
12,4,Bebo,Y,O,1,0,1,True,False,True
12,5,Gas,Y,O,1,0,1,True,False,True
12,9,Cioppo,C,O,1,0,1,True,False,True
12,10,Rosi,C,O,1,0,1,True,False,True
13,11,Lollo,H,D,0,1,1,False,True,True
13,13,Zeno,H,D,0,1,1,False,True,True
13,15,Krash,H,D,0,1,1,False,True,True
13,17,Jan,Y,D,0,1,1,False,True,True
13,18,Mastro,Y,D,0,1,1,False,True,True
13,20,Kais,Y,D,0,1,1,False,True,True
13,23,Gabbo,C,D,0,1,1,False,True,True
14,0,Laffi,H,O,1,0,1,True,False,True
14,1,Nando,H,O,1,0,1,True,False,True
14,4,Bebo,Y,O,1,0,1,True,False,True
14,5,Gas,Y,O,1,0,1,True,False,True
14,6,Edo,Y,O,1,0,1,True,False,True
14,7,Seba,Y,O,1,0,1,True,False,True
