min_pt,sec_pt,special_line,lineup,blocks,tovs,break,clutch_point,start_offensive_pt,scored_us,score_us_pt,score_opp_pt,set_play_o,d_tactic,negative_hystory,positive_hystory,assistmen,scorer,game_phase,point_id,game_id
,,,"['17', '4', '42', '11', '7', '97', '50']",4,3,True,False,False,True,1,0,,uomo,4lt 97lt 42p T,11dk,11,42,start1,0,0
,,,"['10', '0', '51', '31', '83', '99', '54']",,,False,False,False,False,1,1,,uomo,,,,,,1,0
,,,"['13', '22', '38', '9', '33', '8', '61']",,,False,False,True,True,2,1,,,,,61,38,,2,0
,,,"['27', '17', '4', '42', '11', '7', '50']",,,False,False,False,False,2,2,,uomo,,,,,,3,0
,,,"['13', '64', '90', '38', '9', '33', '34']",,,False,False,True,True,3,2,,,,,33,38,,4,0
,,,"['10', '0', '51', '11', '7', '97', '50']",1,,True,False,False,True,4,2,,tbox,,,10,51,,5,0
,,,"['17', '0', '51', '42', '31', '83', '54']",,,False,False,False,False,4,3,,tbox,,,,,,6,0
,,,"['13', '22', '90', '8', '34', '27', '61']",,,False,False,True,True,5,3,,,,,90,8,,7,0
,,,"['17', '51', '42', '11', '97', '31', '54']",,,False,False,False,False,5,4,,fmclap,,,,,,8,0
,,,"['64', '22', '38', '9', '33', '27', '61']",,1,True,False,True,False,5,5,,,38p,,,,,9,0
,,,"['13', '64', '22', '9', '33', '8', '27']",,,False,True,True,True,6,5,vszona,,,,13,33,,10,0
,,,"['10', '4', '42', '97', '50', '83', '99']",1,,True,True,False,True,7,5,,fmclap,,50d 97s,97,10,,11,0
,,,"['17', '0', '51', '42', '11', '31', '54']",2,2,False,True,False,False,7,6,,fmclap,51t 17t,,,,,12,0
,,,"['64', '90', '38', '9', '33', '34', '27']",1,1,False,True,True,True,8,6,,,9lt,27d,27,34,ht,13,0
,,,"['13', '64', '22', '38', '8', '27', '61']",1,2,True,True,True,False,8,7,,,8lt 61p,8d,,,start2,14,0
,,,"['13', '22', '90', '38', '9', '33', '27']",3,4,True,True,True,False,8,8,,,33t 38lt 22t 90lt,9d,,,,15,0
,,SPECIAL,"['64', '8', '61', '4', '7', '97', '50']",2,2,False,True,True,True,9,8,,,64t 97lt,4d,50,7,,16,0
,,,"['17', '10', '51', '42', '11', '31', '99']",1,1,False,True,False,False,9,9,,,51t,,,,,17,0
,,,"['13', '64', '90', '38', '33', '9', '8']",,1,True,True,True,False,9,10,,,64p,,,,,18,0
,,,"['13', '38', '9', '33', '8', '27', '97']",1,1,False,True,True,True,10,10,vszona,,13lt,38s,13,9,,19,0
