,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,In campo,TODO,,,,,,Blocks,Tovs,Break,A/D,Schema A,Schema D,Storia neg,Storia pos,Assist,Meta ,game_phase,,,,,,,
,,,17,42,11,7,97,50,54,,,,D,,2forte,,,,,start1,,,,,,,
,,,13,64,38,9,8,34,27,2,2,,A,,,64t 8t,,64,8,,,,,,,,
,,,10,0,4,51,97,50,31,1,,BREAK,D,,2forte,,97d,50,4,,,,,,,,
,,,17,42,11,7,83,99,54,,,,D,,2forte,,,,,,,,,,,,
,,,13,22,90,38,9,33,8,,1,BREAK,A,,,13t,,,,,,,,,,,
,,,13,64,22,8,34,27,61,3,3,,A,,,61t T 64t ,22d 34d,34,61,,,,,,,,
,,,17,4,51,97,50,31,54,,,,D,,uomo2,,,,,,,,,,,,
,,,90,38,9,33,8,27,NaN portatore,,,,A,,,,,27,33,,,,,,,,
,,,10,0,42,11,7,97,50,,,,D,,cozzaMuller,,,,,,,,,,,,
,,,13,64,90,8,34,27,61,,,,A,,,,,13,8,,,,,,,,
SPECIAL,,,17,42,11,7,50,8,27,1,,BREAK,D,,SPECIAL2,,,50,7,,,,,,,,
,,,17,10,4,42,7,97,50,,,,D,,uomo2,,,,,,,,,,,,
,,,13,22,90,38,9,27,61,,,,A,,,,,22,27,,,,,,,,
,,,17,0,51,11,7,31,99,,,,D,,uomo,,,,,,,,,,,,
,,,13,64,38,9,33,8,27,,,,A,,,,,27,33,ht,,,,,,,
,,,13,22,90,33,8,34,61,2,2,,A,,,61p 61p,,13,61,start2,,,,,,,
,,,17,4,51,7,50,31,83,,,,D,,uomo,,,,,,,,,,,,
,,,90,22,38,9,8,34,27,,,,A,,,,,8,27,,,,,,,,
,,,17,0,4,51,97,50,31,1,1,,D,,uomo,51t,0d,,,,,,,,,,
,,,13,64,38,9,33,8,34,,,,A,,,,,13,34,,,,,,,,
,,,10,4,42,97,50,99,11,1,,BREAK,D,,?,,42d,97,42,,,,,,,,
,,,0,7,97,83,99,NaN,NaN,1,,BREAK,D,,?,,,97,99,,,,,,,,
,,,17,51,42,11,7,31,83,2,2,,D,,?,7t 42t,11d 31d,,,,,,,,,,
,,,13,22,90,38,33,8,61,,,,A,,,,,33,61,,,,,,,,
,,,0,4,51,97,50,31,83,1,,BREAK,D,,?,,97s 97d,0,83,end,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tot,,,,,,,,,,15,11,5,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,TODO:,,,,,,,
,,S,D,HD,LT,T,P,Assist,Mete,Mete g att,Mete g dif,Mga att (min),(sec),Mga dif (min),(sec),Mete g tot,Mga tot (min),(sec),,Blocks linea D,Blocks/meteg D,Break seg D,Break/meteg D,TOV linea O,TOV/meteg O,Break sub O,Break/meteg O
13,Laffi,,,,,1,,3,,9,,,,,,9,,,,,,,,8,"0,89",1,"0,11"
64,Nando,,,,,2,,1,,5,,,,,,5,,,,,,,,5,1,0,0
22,Coppi,,1,,,,,1,,6,,,,,,6,,,,,,,,6,1,1,"0,17"
90,Mancio,,,,,,,,,7,,,,,,7,,,,,,,,3,"0,43",1,"0,14"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Bebo,,,,,,,,,8,,,,,,8,,,,,,,,3,"0,38",1,"0,13"
9,Gas,,,,,,,,,7,,,,,,7,,,,,,,,3,"0,43",1,"0,14"
33,Edo,,,,,,,1,2,6,,,,,,6,,,,,,,,3,"0,5",1,"0,17"
8,Seba,,,,,1,,1,2,10,1,,,,,11,,,,1,1,1,1,8,"0,8",1,"0,1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Gio,,1,,,,,1,1,6,,,,,,6,,,,,,,,7,"1,17",0,0
27,Cioppo,,,,,,,2,2,7,1,,,,,8,,,,1,1,1,1,5,"0,71",0,0
61,Rosi,,,,,1,2,,3,5,,,,,,5,,,,,,,,5,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Lollo,,,,,,,,,,9,,,,,9,,,,4,"0,44",1,"0,11",,,,
10,Toni,,,,,,,,,,4,,,,,4,,,,2,"0,5",2,"0,5",,,,
0,Zeno,,1,,,,,1,,,6,,,,,6,,,,4,"0,67",3,"0,5",,,,
4,Dede,,,,,,,,1,,7,,,,,7,,,,4,"0,57",3,"0,43",,,,
51,Krash,,,,,1,,,,,7,,,,,7,,,,5,"0,71",2,"0,29",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Tal,,1,,,1,,,1,,7,,,,,7,,,,4,"0,57",2,"0,29",,,,
11,Jan,,1,,,,,,,,7,,,,,7,,,,4,"0,57",2,"0,29",,,,
7,Mastro,,,,,1,,,1,,9,,,,,9,,,,4,"0,44",2,"0,22",,,,
97,Pingu,1,2,,,,,2,,,9,,,,,9,,,,5,"0,56",4,"0,44",,,,
31,Kais,,1,,,,,,,,7,,,,,7,,,,5,"0,71",2,"0,29",,,,
83,Gatti,,,,,,,,1,,5,,,,,5,,,,4,"0,8",2,"0,4",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Ventu,,,,,,,2,,,10,,,,,10,,,,5,"0,5",4,"0,4",,,,
99,Gabbo,,,,,,,,1,,4,,,,,4,,,,2,"0,5",2,"0,5",,,,
54,Martin,,,,,,,,,,3,,,,,3,,,,,,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOT,1,8,0,0,8,2,15,15,11,14,,,,,25,,,,15,"1,07",5,"0,36",11,1,1,"0,09"
