,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,In campo,,,,,,,Blocks,Tovs,Break,A/D,Schema A,Schema D,Storia neg,Storia pos,Assist,Meta ,,,,,,,,
,,,17,4,42,11,7,97,50,2,2,,D,,fmclap,17t 97t ,4d 11d,,,,,,,,,,
,,,13,22,90,9,33,8,61,,1,BREAK,A,,,13t,,,,,,,,,,,
,,,64,90,38,33,8,34,27,,,,A,,,,,33,34,,,,,,,,
,,,10,0,51,31,83,99,54,,,,D,,fmclap,,,,,,,,,,,,
,,,13,22,38,9,34,27,61,,,,A,,,,,27,13,,,,,,,,
,,,17,10,0,11,7,97,50,1,,BREAK,D,,tbox,,10s,97,17,,,,,,,,
,,,4,42,97,31,83,99,54,1,,BREAK,D,,fmclap,,97d,4,99,,,,,,,,
,,,17,10,0,51,7,50,83,,,,D,,tbox,,,,,,,,,,,,
,,,13,64,38,9,33,8,27,,,,A,,,,,13,38,,,,,,,,
,,,17,4,51,42,11,97,31,3,3,,D,,fmclap,42t 42t 97t,42d 11d 42d,,,,,,,,,,
,,,64,22,90,38,9,8,34,,1,BREAK,A,,,9t,,,,,,,,,,,
,,,13,22,90,33,8,34,27,,1,BREAK,A,,,22t,,,,,,,,,,,
SPECIAL O,,,13,38,9,27,61,7,50,,,,A,,,,,7,27,,,,,,,,
,,,17,0,11,7,97,50,99,1,1,,D,,tbox,97t,,,,,,,,,,,
,,,13,64,38,9,33,8,27,1,1,,A,,,13t,,8,27,,,,,,,,
,,,17,10,42,7,50,31,54,1,,BREAK,D,,uomo,,,54,42,,,,,,,,
,,,10,0,4,51,11,97,83,2,1,BREAK,D,,fmclap,51t,11d 11s,11,4,,,,,,,,
,,,17,51,42,7,50,31,54,,,,D,,fmclap,,,,,,,,,,,,
,,,13,22,90,9,8,27,61,1,1,,A,vsuomo,,8t,8d 9s,27,61,,,,,,,,
,,,17,4,11,97,50,83,54,1,1,,D,,fmclap,4p,11d,,,,,,,,,,
,,,13,90,38,9,8,34,27,1,1,,A,,,38t,38d,34,27,,,,,,,,
,,,17,42,11,7,97,50,83,1,,BREAK,D,,fmclap,,,97,17,,,,,,,,
,,,17,0,4,7,97,50,83,4,4,,D,,tbox,83p 97t 17t 17t,83d,,,,,,,,,,
,,,13,90,38,9,33,8,27,,,,A,,,,,33,8,,,,,,,,
