,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,In campo,,,,,,,Blocks,Tovs,Break,A/D,Schema A,Schema D,Storia neg,Storia pos,Assist,Meta ,,,,,,,,
,,,17,4,42,11,7,97,50,2,1,BREAK,D,,fmclap,11t,11d 7d,42,11,,,,,,,,
,,,17,10,0,51,11,7,50,,,,D,,tbox,,,,,,,,,,,,
,,,13,64,90,9,33,8,27,,,,A,,,,,13,27,,,,,,,,
,,,4,51,97,50,31,83,99,,,,D,,fmclap,,,,,,,,,,,,
,,,13,22,38,8,34,27,61,,,,A,,,,,8,61,,,,,,,,
,,,17,10,42,7,97,50,54,2,1,BREAK,D,,fmclap,T,,97,50,,,,,,,,
,,,17,0,51,11,31,83,54,1,,BREAK,D,,fmclap,,11d,11,83,,,,,,,,
,,,4,51,42,97,50,31,99,1,1,,D,,fmclap,97t,51d,,,,,,,,,,
,,,13,64,90,38,9,33,61,,1,BREAK,A,,,38t,,,,,,,,,,,
tutte mani,,,13,64,22,90,9,8,27,1,1,,A,,,9t,90d,8,22,,,,,,,,
,,,4,42,11,7,97,50,83,,,,D,,fmclap,,,,,,,,,,,,
,,,13,38,33,8,34,27,61,,1,BREAK,A,,,13t,,,,,,,,,,,
SPECIAL O,,,13,64,9,33,8,27,7,,,,A,,,,,9,7,,,,,,,,
SPECIAL D,,,9,17,4,42,11,97,50,,,,D,,fmclap,,,,,,,,,,,,
,,,13,90,38,9,8,27,61,,,,A,,,,,27,61,,,,,,,,
,,,13,22,9,8,34,27,7,,,,A,,,,,9,22,,,,,,,,
,,,17,0,4,51,11,97,50,,,,D,,tbox,,,,,,,,,,,,
,,,13,90,38,9,8,34,27,,,,A,,,,,38,34,,,,,,,,
,,,51,42,7,50,31,83,54,,,,D,,uomojapan2,,,,,,,,,,,,
,,,13,90,38,9,33,8,27,,,,A,,,,,9,27,,,,,,,,
,,,17,42,11,7,97,50,54,,,,D,,uomojapan2,,,,,,,,,,,,
,,,13,90,38,9,33,8,27,,1,BREAK,A,,,9t,,,,,,,,,,,
SPECIAL O,,,13,90,38,9,8,27,7,,,,A,,,,,13,8,,,,,,,,
,,,17,4,11,7,97,50,31,,,,D,,?,,,,,,,,,,,,
,,,13,64,90,9,8,34,27,,,,A,,,,,13,8,,,,,,,,
,,,51,42,11,7,97,50,83,1,1,,D,,?,11t,,,,,,,,,,,
SPECIAL O,,,13,90,38,9,8,27,7,,1,BREAK,A,,,7t,,,,,,,,,,,
SPECIAL O,,,13,9,8,34,27,97,50,1,1,,A,,,97t,,9,8,,,,,,,,
SPECIAL D,,,9,8,27,17,11,97,50,,,,D,,uomo2,,,,,,,,,,,,
Tot,,,,,,,,,,9,10,3,4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,TODO:,,,,,,,
,,S,D,HD,LT,T,P,Assist,Mete,Mete g att,Mete g dif,Mga att (min),(sec),Mga dif (min),(sec),Mete g tot,Mga tot (min),(sec),,Blocks linea D,Blocks/meteg D,Break seg D,Break/meteg D,TOV linea O,TOV/meteg O,Break sub O,Break/meteg O
