,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,In campo,,,,,,,Blocks,Tovs,Break,A/D,Schema A,Schema D,Storia neg,Storia pos,Assist,Meta ,,,,,,,,
,,,17,4,42,11,7,97,50,4,3,BREAK,D,,uomo,4lt 97lt 42p T,11dk,11,42,,,,,,,,
,,,10,0,51,31,83,99,54,,,,D,,uomo,,,,,,,,,,,,
,,,13,22,38,9,33,8,61,,,,A,,,,,61,38,,,,,,,,
,,,27,17,4,42,11,7,50,,,,D,,uomo,,,,,,,,,,,,
,,,13,64,90,38,9,33,34,,,,A,,,,,33,38,,,,,,,,
,,,10,0,51,11,7,97,50,1,,BREAK,D,,tbox,,,10,51,,,,,,,,
,,,17,0,51,42,31,83,54,,,,D,,tbox,,,,,,,,,,,,
,,,13,22,90,8,34,27,61,,,,A,,,,,90,8,,,,,,,,
,,,17,51,42,11,97,31,54,,,,D,,fmclap,,,,,,,,,,,,
,,,64,22,38,9,33,27,61,,1,BREAK,A,,,38p,,,,,,,,,,,
,,,13,64,22,9,33,8,27,,,,A,vszona,,,,13,33,,,,,,,,
,,,10,4,42,97,50,83,99,1,,BREAK,D,,fmclap,,50d 97s,97,10,,,,,,,,
,,,17,0,51,42,11,31,54,2,2,,D,,fmclap,51t 17t,,,,,,,,,,,
,,,64,90,38,9,33,34,27,1,1,,A,,,9lt,27d,27,34,,,,,,,,
,,,13,64,22,38,8,27,61,1,2,BREAK,A,,,8lt 61p,8d,,,,,,,,,,
,,,13,22,90,38,9,33,27,3,4,BREAK,A,,,33t 38lt 22t 90lt,9d,,,,,,,,,,
SPECIAL,,,64,8,61,4,7,97,50,2,2,,A,,,64t 97lt,4d,50,7,,,,,,,,
,,,17,10,51,42,11,31,99,1,1,,D,,,51t,,,,,,,,,,,
,,,13,64,90,38,33,9,8,,1,BREAK,A,,,64p,,,,,,,,,,,
,,,13,38,9,33,8,27,97,1,1,,A,vszona,,13lt,38s,13,9,,,,,,,,
SPECIAL,,,8,17,4,42,7,97,50,1,,BREAK,D,,2ultimo,,,97,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tot,,,,,,,,,,18,18,4,4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,TODO:,,,,,,,
,,S,D,HD,LT,T,P,Assist,Mete,Mete g att,Mete g dif,Mga att (min),(sec),Mga dif (min),(sec),Mete g tot,Mga tot (min),(sec),,Blocks linea D,Blocks/meteg D,Break seg D,Break/meteg D,TOV linea O,TOV/meteg O,Break sub O,Break/meteg O
13,Laffi,,,,1,,,2,,8,,,,,,8,,,,,,,,8,1,3,"0,38"
64,Nando,,,,,1,1,,,7,,,,,,7,,,,,,,,7,1,3,"0,43"
22,Coppi,,,,,1,,,,6,,,,,,6,,,,,,,,7,"1,17",3,"0,5"
90,Mancio,,,,1,,,1,,5,,,,,,5,,,,,,,,6,"1,2",2,"0,4"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Bebo,1,,,1,,1,,2,8,,,,,,8,,,,,,,,10,"1,25",4,"0,5"
9,Gas,,1,,1,,,,1,8,,,,,,8,,,,,,,,8,1,3,"0,38"
33,Edo,,,,,1,,1,1,8,,,,,,8,,,,,,,,8,1,3,"0,38"
8,Seba,,1,,1,,,,1,7,1,,,,,8,,,,1,1,1,1,6,"0,86",2,"0,29"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Gio,,,,,,,,1,3,,,,,,3,,,,,,,,1,"0,33",0,0
27,Cioppo,,1,,,,,1,,7,1,,,,,8,,,,0,0,0,0,9,"1,29",3,"0,43"
61,Rosi,,,,,,1,1,,5,,,,,,5,,,,,,,,5,1,2,"0,4"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Lollo,,,,,1,,,,,7,,,,,7,,,,8,"1,14",2,"0,29",,,,
10,Toni,,,,,,,1,1,,4,,,,,4,,,,3,"0,75",2,"0,5",,,,
0,Zeno,,,,,,,,,,4,,,,,4,,,,3,"0,75",1,"0,25",,,,
4,Dede,,1,,1,,,,1,1,4,,,,,5,,,,6,"1,5",3,"0,75",2,2,0,0
51,Krash,,,,,2,,,1,,6,,,,,6,,,,4,"0,67",1,"0,17",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Tal,,,,,,1,,1,,8,,,,,8,,,,9,"1,13",3,"0,38",,,,
11,Jan,,,,,,,1,,,6,,,,,6,,,,8,"1,33",2,"0,33",,,,
7,Mastro,,,,,,,,1,1,4,,,,,5,,,,6,"1,5",3,"0,75",2,2,0,0
97,Pingu,1,,,2,,,2,,2,5,,,,,7,,,,7,"1,4",4,"0,8",3,"1,5",0,0
31,Kais,,,,,,,,,,5,,,,,5,,,,3,"0,6",0,0,,,,
83,Gatti,,,,,,,,,,3,,,,,3,,,,1,"0,33",1,"0,33",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Ventu,,1,,,,,1,,1,5,,,,,6,,,,7,"1,4",4,"0,8",2,2,0,0
99,Gabbo,,,,,,,,,,3,,,,,3,,,,2,"0,67",1,"0,33",,,,
54,Martin,,,,,,,,,,4,,,,,4,,,,2,"0,5",0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOT,2,5,0,8,6,4,11,11,11,10,,,,,21,,,,18,"1,8",4,"0,4",18,2,4,"0,36"
