,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,In campo,,,,,,,Blocks,Tovs,Break,A/D,Schema A,Schema D,Storia neg,Storia pos,Assist,Meta ,game_phase,,,,,,,
,,,10,11,97,50,83,54,31,,,,D,,uomo2,,,,,start1,,,,,,,
,,,13,22,90,9,34,27,61,3,3,,A,,,34t 27t 61t,34d 27d,us,90,,,,,,,,
,,,51,42,7,97,50,99,31,,,,D,,,,,,,,,,,,,,
,,,64,22,90,38,33,8,27,,,,A,,,,,us,64,,,,,,,,
,,,17,10,0,97,50,83,54,2,2,,D,,tbox,83t 97lt,54d,,,,,,,,,,
,,,13,64,38,9,33,8,27,,,,A,,,,,us,us,,,,,,,,
,,,51,42,11,7,97,50,31,,,,D,,uomo2,,,,,,,,,,,,
,,,64,22,90,38,9,27,61,,,,A,,,,,us,us,,,,,,,,
,,,17,51,42,11,97,50,31,1,,BREAK,D,,uomo2,,97s,11,42,,,,,,,,
SPECIAL D,,,8,27,42,7,97,50,17,2,2,,D,,uomo2,17t 27p,,,,,,,,,,,
,,,13,90,38,9,8,27,61,,1,BREAK,A,,,90p,,,,,,,,,,,
SPECIAL O,,,13,64,38,9,33,61,7,,,,A,,,,,us,us,,,,,,,,
,,,17,10,0,51,11,97,83,,,,D,,tbox,,,,,,,,,,,,
,,,13,90,9,33,8,27,38,,,,A,,,,,us,us,,,,,,,,
SPECIAL D,,,9,17,10,0,7,97,50,1,,BREAK,D,,,,,us,us,ht,,,,,,,
,,,13,64,90,38,9,34,27,2,2,,A,,,27t 9t,,us,us,start2,,,,,,,
,,,10,51,42,7,99,54,31,,,,D,,fm,,,,,,,,,,,,
,,,13,22,90,38,9,8,61,2,3,BREAK,A,,,38t 8t 38t,61d 8d,,,,,,,,,,
SPECIAL O,,,13,64,90,9,33,27,7,,,,A,,,,,us,us,,,,,,,,
,,,17,10,0,11,7,97,50,1,,BREAK,D,,tbox,,,us,us,,,,,,,,
,,,10,51,42,11,83,99,31,1,1,,D,,fm,11p,99d,,,,,,,,,,
,,,13,90,38,9,33,8,27,,,,A,,,,,us,us,,,,,,,,
,,,0,11,42,7,97,50,83,,,,D,,uomo noverso,,,,,,,,,,,,
,,,13,64,38,9,33,8,27,,,,A,,,,,us,us,,,,,,,,
,,,17,10,11,7,97,50,99,,,,D,,,,,,,,,,,,,,
,,,13,90,38,9,33,8,34,,,,A,,,,,us,us,end,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tot,,,,,,,,,,15,14,3,2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,TODO:,,,,,,,
,,S,D,HD,LT,T,P,Assist,Mete,Mete g att,Mete g dif,Mga att (min),(sec),Mga dif (min),(sec),Mete g tot,Mga tot (min),(sec),,Blocks linea D,Blocks/meteg D,Break seg D,Break/meteg D,TOV linea O,TOV/meteg O,Break sub O,Break/meteg O
13,Laffi,,,,,,,,,11,,,,,,11,,,,,,,,9,"0,82",2,"0,18"
64,Nando,,,,,,,,1,7,,,,,,7,,,,,,,,2,"0,29",0,0
22,Coppi,,,,,,,,,4,,,,,,4,,,,,,,,6,"1,5",1,"0,25"
90,Mancio,,,,,,1,,1,10,,,,,,10,,,,,,,,9,"0,9",2,"0,2"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Bebo,,,,,2,,,,11,,,,,,11,,,,,,,,6,"0,55",2,"0,18"
9,Gas,,,,,1,,,,12,1,,,,,13,,,,1,1,1,1,9,"0,75",2,"0,17"
33,Edo,,,,,,,,,8,,,,,,8,,,,,,,,0,0,0,0
8,Seba,,1,,,1,,,,8,1,,,,,9,,,,2,2,0,0,4,"0,5",2,"0,25"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Gio,,1,,,1,,,,3,,,,,,3,,,,,,,,5,"1,67",0,0
27,Cioppo,,1,,,2,1,,,10,1,,,,,11,,,,2,2,0,0,6,"0,6",1,"0,1"
61,Rosi,,1,,,1,,,,5,,,,,,5,,,,,,,,7,"1,4",2,"0,4"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Lollo,,,,,1,,,,,7,,,,,7,,,,7,1,3,"0,43",,,,
10,Toni,,,,,,,,,,8,,,,,8,,,,5,"0,63",2,"0,25",,,,
0,Zeno,,,,,,,,,,5,,,,,5,,,,4,"0,8",2,"0,4",,,,
4,Dede,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Krash,,,,,,,,,,6,,,,,6,,,,2,"0,33",1,"0,17",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Tal,,,,,,,,1,,7,,,,,7,,,,4,"0,57",1,"0,14",,,,
11,Jan,,,,,,1,1,,,8,,,,,8,,,,3,"0,38",2,"0,25",,,,
7,Mastro,,,,,,,,,2,8,,,,,10,,,,4,"0,5",2,"0,25",0,0,0,0
97,Pingu,1,,,1,,,,,,11,,,,,11,,,,7,"0,64",3,"0,27",,,,
31,Kais,,,,,,,,,,6,,,,,6,,,,2,"0,33",1,"0,17",,,,
83,Gatti,,,,,1,,,,,5,,,,,5,,,,3,"0,6",0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Ventu,,,,,,,,,,10,,,,,10,,,,7,"0,7",3,"0,3",,,,
99,Gabbo,,1,,,,,,,,4,,,,,4,,,,1,"0,25",0,0,,,,
54,Martin,,1,,,,,,,,3,,,,,3,,,,2,"0,67",0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOT,1,6,0,1,10,3,1,3,13,13,,,,,26,,,,15,"1,15",3,"0,23",14,1,2,"0,15"
