,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,In campo,,,,,,,Blocks,Tovs,Break,A/D,Schema A,Schema D,Storia neg,Storia pos,Assist,Meta ,,,,,,,,
,,,13,64,22,9,33,34,61,,1,BREAK,A,,,22t,,,,,,,,,,,
,,,13,90,38,9,33,8,27,,,,A,,,,,27,13,,,,,,,,
,,,17,10,51,42,7,50,31,,,,D,,fmcalp,,,,,,,,,,,,
,,,13,22,90,9,34,27,61,,1,BREAK,A,,,90t,,,,,,,,,,,
SPECIAL O,,,13,64,38,9,33,8,7,1,1,,A,,,,,33,64,,,,,,,,
SPECIAL D,,,27,4,42,11,7,97,50,,,,D,,fmclap,8p,33d,,,,,,,,,,
,,,13,22,38,9,33,34,27,,,,A,vscozza Artu,,,,33,22,,,,,,,,
,,,10,0,11,7,97,50,83,1,,BREAK,D,,1 fisso compression,,11d,11,83,,,,,,,,
,,,0,4,51,42,97,31,54,,,,D,,1 fisso compression,,,,,,,,,,,,
,,,13,64,90,38,34,27,61,2,2,,A,,,13t 64p,64d,27,38,,,,,,,,
,,,4,51,97,50,31,83,99,,,,D,,1 fisso compression,51b??,??,,,,,,,,,,
,,,13,22,38,9,33,34,27,,,,A,,,,34s,9,34,,,,,,,,
,,,17,42,11,7,97,50,31,1,1,,D,,1 fisso compression,97t 42ml,31s,,,,,,,,,,
,,,13,64,90,38,9,34,27,,,,A,,,,,13,64,,,,,,,,
,,,27,17,42,11,7,97,50,,,,D,,1 fisso compression,42ml,,,,,,,,,,,
,,,17,4,51,7,50,31,83,,,,D,,,,,,,,,,,,,,
,,,13,22,90,9,33,34,27,,1,BREAK,A,,,27t,,,,,,,,,,,
SPECIAL O,,,13,38,9,34,7,97,50,,,,A,,,,,9,97,,,,,,,,
,,,10,0,42,11,7,97,50,,,,D,,tbox,,,,,,,,,,,,
,,,13,64,38,9,33,34,27,,1,BREAK,A,,,34t,,,,,,,,,,,
SPECIAL O,,,13,22,38,9,34,27,7,,,,A,,,,,7,27,,,,,,,,
,,,4,51,42,11,97,50,31,1,1,,D,,1 fisso compression,31t ???,,,,,,,,,,,
,,,13,64,90,38,9,27,61,,,,A,,,,,13,9,,,,,,,,
,,,4,51,11,7,97,50,31,1,,BREAK,D,,1 fisso compression,,11d,11,51,,,,,,,,
,,,11,7,97,50,31,51,4,1,,BREAK,D,,1 fisso compression,,,11,51,,,,,,,,
,,,11,7,97,50,31,51,4,,,,D,,1 fisso compression,,,,,,,,,,,,
,,,13,90,9,33,34,27,61,,,,A,,,,,9,61,,,,,,,,
SPECIAL D,,,9,51,11,7,97,50,31,,,,D,,1 fisso compression,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tot,,,,,,,,,,8,9,3,4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,TODO:,,,,,,,
,,S,D,HD,LT,T,P,Assist,Mete,Mete g att,Mete g dif,Mga att (min),(sec),Mga dif (min),(sec),Mete g tot,Mga tot (min),(sec),,Blocks linea D,Blocks/meteg D,Break seg D,Break/meteg D,TOV linea O,TOV/meteg O,Break sub O,Break/meteg O
13,Laffi,,,,,1,,2,1,14,,,,,,14,,,,,,,,7,"0,5",4,"0,29"
64,Nando,,1,,,,1,,2,6,,,,,,6,,,,,,,,5,"0,83",2,"0,33"
22,Coppi,,,,,1,,,1,6,,,,,,6,,,,,,,,3,"0,5",3,"0,5"
90,Mancio,,,,,1,,,,7,,,,,,7,,,,,,,,4,"0,57",2,"0,29"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Bebo,,,,,,,,1,10,,,,,,10,,,,,,,,4,"0,4",1,"0,1"
9,Gas,,,,,,,3,1,13,1,,,,,14,,,,0,0,0,0,5,"0,38",4,"0,31"
33,Edo,,1,,,,,2,,8,,,,,,8,,,,,,,,4,"0,5",3,"0,38"
8,Seba,,,,,,1,,,2,,,,,,2,,,,,,,,1,"0,5",0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
