,,S,D,HD,LT,T,P,Assist,Mete,Mete g att,Mete g dif,Mga att (min),(sec),Mga dif (min),(sec),Mete g tot,Mga tot (min),(sec),,Blocks linea D,Blocks/meteg D,Break seg D,Break/meteg D,TOV linea O,TOV/meteg O,Break sub O,Break/meteg O
13,Laffi,,,,1,5,,10,2,66,,,,,,66,,,,,,,,43,"0,65",16,"0,24"
64,Nando,,1,,,3,2,1,2,34,,,,,,34,,,,,,,,23,"0,68",7,"0,21"
22,Coppi,,1,,,3,,1,2,30,,,,,,30,,,,,,,,27,"0,9",11,"0,37"
90,Mancio,,1,,1,1,1,1,1,46,,,,,,46,,,,,,,,31,"0,67",13,"0,28"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Bebo,1,1,,1,4,1,,4,53,,,,,,53,,,,,,,,30,"0,57",13,"0,25"
9,Gas,1,1,,1,4,,6,2,62,4,,,,,66,,,,1,"0,25",1,"0,25",35,"0,56",15,"0,24"
33,Edo,,1,,,1,,4,3,42,,,,,,42,,,,,,,,21,"0,5",12,"0,29"
8,Seba,,3,,1,3,1,4,6,50,4,,,,,54,,,,4,1,2,"0,5",30,"0,6",11,"0,22"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Gio,1,2,,,2,,2,4,34,,,,,,34,,,,,,,,24,"0,71",7,"0,21"
27,Cioppo,,2,,,3,1,8,7,58,6,,,,,64,,,,3,"0,5",1,"0,17",34,"0,59",11,"0,19"
61,Rosi,,1,,,2,3,1,6,28,,,,,,28,,,,,,,,25,"0,89",9,"0,32"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Lollo,,,,,5,,,2,,45,,,,,45,,,,37,"0,82",12,"0,27",,,,
10,Toni,1,,,,,,1,1,,26,,,,,26,,,,17,"0,65",11,"0,42",,,,
0,Zeno,,1,,,,,1,,,27,,,,,27,,,,21,"0,78",10,"0,37",,,,
4,Dede,,2,,1,,1,1,3,1,30,,,,,31,,,,28,"0,93",10,"0,33",2,2,,0
51,Krash,,1,,,4,,,1,,38,,,,,38,,,,21,"0,55",7,"0,18",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Tal,,3,,,3,1,1,4,,43,,,,,43,,,,33,"0,77",11,"0,26",,,,
11,Jan,1,9,,,2,1,5,,,47,,,,,47,,,,34,"0,72",13,"0,28",,,,
7,Mastro,,1,,,2,,1,3,11,47,,,,,58,,,,32,"0,68",14,"0,3",4,"0,36",1,"0,09"
97,Pingu,3,3,,3,7,,6,1,4,56,,,,,60,,,,45,"0,8",19,"0,34",4,1,,0
31,Kais,1,1,,,1,,,,,37,,,,,37,,,,20,"0,54",7,"0,19",,,,
83,Gatti,,1,,,1,1,,3,,28,,,,,28,,,,20,"0,71",8,"0,29",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Ventu,,1,,,,,3,,4,59,,,,,63,,,,40,"0,68",18,"0,31",3,"0,75",,0
99,Gabbo,,1,,,,,,2,,17,,,,,17,,,,8,"0,47",4,"0,24",,,,
54,Martin,,1,,,,,1,,,20,,,,,20,,,,10,"0,5",4,"0,2",,,,
